OBJECTID,TYPE,STREET ADDRESS,CITY/STATE
1,Street Lights,1993 DRAKE DR,"Oakland, CA"
2,Street Lights,1875 MAGELLAN DR,"Oakland, CA"
3,Street Lights,1833 MAGELLAN DR,"Oakland, CA"
4,Street Lights,1825 MAGELLAN DR,"Oakland, CA"
5,Street Lights,1933 GASPAR DR,"Oakland, CA"
6,Street Lights,1945 MOUNTAIN BLVD,"Oakland, CA"
7,Street Lights,1935 MOUNTAIN BLVD,"Oakland, CA"
8,Street Lights,1901 MOUNTAIN BLVD,"Oakland, CA"
9,Street Lights,1899 MOUNTAIN BLVD,"Oakland, CA"
10,Street Lights,1915 GASPAR DR,"Oakland, CA"
11,Street Lights,6141 SNAKE RD,"Oakland, CA"
12,Street Lights,6175 SNAKE RD,"Oakland, CA"
13,Street Lights,1807 DRAKE DR,"Oakland, CA"
14,Street Lights,1824 DRAKE DR,"Oakland, CA"
15,Street Lights,1875 DRAKE DR,"Oakland, CA"
16,Street Lights,2052 TAMPA AV,"Oakland, CA"
17,Street Lights,2001 TAMPA AV,"Oakland, CA"
18,Street Lights,2031 ASILOMAR DR,"Oakland, CA"
19,Street Lights,2001 ASILOMAR DR,"Oakland, CA"
20,Street Lights,1961 DRAKE DR,"Oakland, CA"
21,Street Lights,5881 BALBOA DR,"Oakland, CA"
22,Street Lights,5834 BALBOA DR,"Oakland, CA"
23,Street Lights,5733 BALBOA DR,"Oakland, CA"
24,Street Lights,6552 SARONI DR,"Oakland, CA"
25,Street Lights,1909 ASILOMAR DR,"Oakland, CA"
26,Street Lights,6508 SARONI DR,"Oakland, CA"
27,Street Lights,6650 COLTON BLVD,"Oakland, CA"
28,Street Lights,6514 COLTON BLVD,"Oakland, CA"
29,Street Lights,6501 COLTON BLVD,"Oakland, CA"
30,Street Lights,6445 COLTON BLVD,"Oakland, CA"
31,Street Lights,6435 SNAKE RD,"Oakland, CA"
32,Street Lights,6401 SNAKE RD,"Oakland, CA"
33,Street Lights,6389 SNAKE RD,"Oakland, CA"
34,Street Lights,6022 COLTON BLVD,"Oakland, CA"
35,Street Lights,5614 BALBOA DR,"Oakland, CA"
36,Street Lights,5803 MENDOZA DR,"Oakland, CA"
37,Street Lights,5934 COLTON BLVD,"Oakland, CA"
38,Street Lights,1903 MOUNTAIN BLVD,"Oakland, CA"
39,Street Lights,5849 COLTON BLVD,"Oakland, CA"
40,Street Lights,5952 COLTON BLVD,"Oakland, CA"
41,Street Lights,5901 MAZUELA DR,"Oakland, CA"
42,Street Lights,6405 COLTON BLVD,"Oakland, CA"
43,Street Lights,6411 COLTON BLVD,"Oakland, CA"
44,Street Lights,6455 COLTON BLVD,"Oakland, CA"
45,Street Lights,6475 COLTON BLVD,"Oakland, CA"
46,Street Lights,6507 COLTON BLVD,"Oakland, CA"
47,Street Lights,6628 COLTON BLVD,"Oakland, CA"
48,Street Lights,6530 SARONI DR,"Oakland, CA"
49,Street Lights,6679 SARONI DR,"Oakland, CA"
50,Street Lights,1990 ASILOMAR DR,"Oakland, CA"
51,Street Lights,2011 ASILOMAR DR,"Oakland, CA"
52,Street Lights,2057 ASILOMAR DR,"Oakland, CA"
53,Street Lights,2020 TAMPA AV,"Oakland, CA"
54,Street Lights,2009 TAMPA AV,"Oakland, CA"
55,Street Lights,5552 BALBOA DR,"Oakland, CA"
56,Street Lights,5646 BALBOA DR,"Oakland, CA"
57,Street Lights,5660 BALBOA DR,"Oakland, CA"
58,Street Lights,5701 BALBOA DR,"Oakland, CA"
59,Street Lights,5762 BALBOA DR,"Oakland, CA"
60,Street Lights,5867 BALBOA DR,"Oakland, CA"
61,Street Lights,5 CORTEZ CT,"Oakland, CA"
62,Street Lights,33 CORTEZ CT,"Oakland, CA"
63,Street Lights,6060 ZINN DR,"Oakland, CA"
64,Street Lights,6425 SNAKE RD,"Oakland, CA"
65,Street Lights,6235 SNAKE RD,"Oakland, CA"
66,Street Lights,6207 SNAKE RD,"Oakland, CA"
67,Street Lights,6039 SNAKE RD,"Oakland, CA"
68,Street Lights,5913 ZINN DR,"Oakland, CA"
69,Street Lights,5941 ZINN DR,"Oakland, CA"
70,Street Lights,5927 ZINN DR,"Oakland, CA"
71,Street Lights,1836 DRAKE DR,"Oakland, CA"
72,Street Lights,1869 DRAKE DR,"Oakland, CA"
73,Street Lights,1941 DRAKE DR,"Oakland, CA"
74,Street Lights,1987 DRAKE DR,"Oakland, CA"
75,Street Lights,2015 DRAKE DR,"Oakland, CA"
76,Street Lights,1805 GASPAR DR,"Oakland, CA"
77,Street Lights,1833 GASPAR DR,"Oakland, CA"
78,Street Lights,1901 GASPAR DR,"Oakland, CA"
79,Street Lights,1927 GASPAR DR,"Oakland, CA"
80,Street Lights,1973 MAGELLAN DR,"Oakland, CA"
81,Street Lights,1991 MAGELLAN DR,"Oakland, CA"
82,Street Lights,5801 MENDOZA DR,"Oakland, CA"
83,Street Lights,5907 MAZUELA DR,"Oakland, CA"
84,Street Lights,1918 AZTEC WY,"Oakland, CA"
85,Street Lights,6000 SNAKE RD,"Oakland, CA"
86,Street Lights,1903 CORTEREAL AV,"Oakland, CA"
87,Street Lights,5900 SNAKE RD,"Oakland, CA"
88,Street Lights,1929 CORTEREAL AV,"Oakland, CA"
89,Street Lights,1959 CORTEREAL AV,"Oakland, CA"
90,Street Lights,1974 MAGELLAN DR,"Oakland, CA"
91,Street Lights,1931 MAGELLAN DR,"Oakland, CA"
92,Street Lights,1901 MAGELLAN DR,"Oakland, CA"
93,Street Lights,6100 SNAKE RD,"Oakland, CA"
94,Street Lights,1970 MOUNTAIN BLVD,"Oakland, CA"
95,Street Lights,1650 TELEGRAPH AV,"Oakland, CA"
96,Street Lights,1880 MOUNTAIN BLVD,"Oakland, CA"
97,Street Lights,5608 COLTON BLVD,"Oakland, CA"
98,Street Lights,5656 COLTON BLVD,"Oakland, CA"
99,Street Lights,1965 GASPAR DR,"Oakland, CA"
100,Street Lights,6116 SNAKE RD,"Oakland, CA"
101,Street Lights,1848 DRAKE DR,"Oakland, CA"
102,Street Lights,2086 ASILOMAR DR,"Oakland, CA"
103,Street Lights,1934 DRAKE DR,"Oakland, CA"
104,Street Lights,6409 ZINN DR,"Oakland, CA"
