"OBJECTID","STNO","STREET_NAM"
1,"01993","DRAKE DR"
2,"01875","MAGELLAN DR"
3,"01833","MAGELLAN DR"
4,"01825","MAGELLAN DR"
5,"01933","GASPAR DR"
6,"01945","MOUNTAIN BLVD"
7,"01935","MOUNTAIN BLVD"
8,"01901","MOUNTAIN BLVD"
9,"01899","MOUNTAIN BLVD"
10,"01915","GASPAR DR"
11,"06141","SNAKE RD"
12,"06175","SNAKE RD"
13,"01807","DRAKE DR"
14,"01824","DRAKE DR"
15,"01875","DRAKE DR"
16,"02052","TAMPA AV"
17,"02001","TAMPA AV"
18,"02031","ASILOMAR DR"
19,"02001","ASILOMAR DR"
20,"01961","DRAKE DR"
21,"05881","BALBOA DR"
22,"05834","BALBOA DR"
23,"05733","BALBOA DR"
24,"06552","SARONI DR"
25,"01909","ASILOMAR DR"
26,"06508","SARONI DR"
27,"06650","COLTON BLVD"
28,"06514","COLTON BLVD"
29,"06501","COLTON BLVD"
30,"06445","COLTON BLVD"
31,"06435","SNAKE RD"
32,"06401","SNAKE RD"
33,"06389","SNAKE RD"
34,"06022","COLTON BLVD"
35,"05614","BALBOA DR"
36,"05803","MENDOZA DR"
37,"05934","COLTON BLVD"
38,"01903","MOUNTAIN BLVD"
39,"05849","COLTON BLVD"
40,"05952","COLTON BLVD"
41,"05901","MAZUELA DR"
42,"06405","COLTON BLVD"
43,"06411","COLTON BLVD"
44,"06455","COLTON BLVD"
45,"06475","COLTON BLVD"
46,"06507","COLTON BLVD"
47,"06628","COLTON BLVD"
48,"06530","SARONI DR"
49,"06679","SARONI DR"
50,"01990","ASILOMAR DR"
51,"02011","ASILOMAR DR"
52,"02057","ASILOMAR DR"
53,"02020","TAMPA AV"
54,"02009","TAMPA AV"
55,"05552","BALBOA DR"
56,"05646","BALBOA DR"
57,"05660","BALBOA DR"
58,"05701","BALBOA DR"
59,"05762","BALBOA DR"
60,"05867","BALBOA DR"
61,"00005","CORTEZ CT"
62,"00033","CORTEZ CT"
63,"06060","ZINN DR"
64,"06425","SNAKE RD"
65,"06235","SNAKE RD"
66,"06207","SNAKE RD"
67,"06039","SNAKE RD"
68,"05913","ZINN DR"
69,"05941","ZINN DR"
70,"05927","ZINN DR"
71,"01836","DRAKE DR"
72,"01869","DRAKE DR"
73,"01941","DRAKE DR"
74,"01987","DRAKE DR"
75,"02015","DRAKE DR"
76,"01805","GASPAR DR"
77,"01833","GASPAR DR"
78,"01901","GASPAR DR"
79,"01927","GASPAR DR"
80,"01973","MAGELLAN DR"
81,"01991","MAGELLAN DR"
82,"05801","MENDOZA DR"
83,"05907","MAZUELA DR"
84,"01918","AZTEC WY"
85,"06000","SNAKE RD"
86,"01903","CORTEREAL AV"
87,"05900","SNAKE RD"
88,"01929","CORTEREAL AV"
89,"01959","CORTEREAL AV"
90,"01974","MAGELLAN DR"
91,"01931","MAGELLAN DR"
92,"01901","MAGELLAN DR"
93,"06100","SNAKE RD"
94,"01970","MOUNTAIN BLVD"
95,"01650","TELEGRAPH AV"
96,"01880","MOUNTAIN BLVD"
97,"05608","COLTON BLVD"
98,"05656","COLTON BLVD"
99,"01965","GASPAR DR"
100,"06116","SNAKE RD"
101,"01848","DRAKE DR"
102,"02086","ASILOMAR DR"
103,"01934","DRAKE DR"
104,"06409","ZINN DR"
105,"06425","ZINN DR"
106,"05808","BALBOA DR"
107,"05755","BALBOA DR"
108,"01966","ASILOMAR DR"
109,"06660","SARONI DR"
110,"06641","SARONI DR"
111,"06584","SARONI DR"
112,"06627","COLTON BLVD"
113,"06674","COLTON BLVD"
114,"05537","BALBOA DR"
115,"06300","SNAKE RD"
116,"06226","SNAKE RD"
117,"06350","SNAKE RD"
118,"06078","COLTON BLVD"
119,"06066","COLTON BLVD"
120,"05926","MAZUELA DR"
121,"05909","COLTON BLVD"
122,"05991","COLTON BLVD"
123,"05828","COLTON BLVD"
124,"05760","COLTON BLVD"
125,"05724","COLTON BLVD"
126,"05696","COLTON BLVD"
127,"01836","GASPAR DR"
128,"05630","CABOT DR"
129,"05620","COLTON BLVD"
130,"05701","COLTON BLVD"
131,"05708","COLTON BLVD"
132,"05748","COLTON BLVD"
133,"05820","COLTON BLVD"
134,"00002","DIAZ PL"
135,"05911","COLTON BLVD"
136,"06001","COLTON BLVD"
137,"06049","COLTON BLVD"
138,"06601","COLTON BLVD"
139,"06675","COLTON BLVD"
140,"06682","COLTON BLVD"
141,"06571","SARONI DR"
142,"06615","SARONI DR"
143,"01942","ASILOMAR DR"
144,"01932","ASILOMAR DR"
145,"02056","ASILOMAR DR"
146,"02082","ASILOMAR DR"
147,"02098","ASILOMAR DR"
148,"05519","BALBOA DR"
149,"05631","BALBOA DR"
150,"05745","BALBOA DR"
151,"05827","BALBOA DR"
152,"00018","CORTEZ CT"
153,"06050","ZINN DR"
154,"00000","SHEPHERD CANYON RD"
155,"01991","GASPAR DR"
156,"06065","SNAKE RD"
157,"06020","SNAKE RD"
158,"01920","DRAKE DR"
159,"01910","DRAKE DR"
160,"05650","MAGELLAN DR"
161,"06952","GASPAR DR"
162,"01850","MAGELLAN DR"
163,"01887","MAGELLAN DR"
164,"01923","MAGELLAN DR"
165,"01937","MAGELLAN DR"
166,"05826","MENDOZA DR"
167,"01070","66TH ST"
168,"01084","66TH ST"
169,"01076","66TH ST"
170,"01060","66TH ST"
171,"06601","HELEN CT"
172,"06526","HERZOG ST"
173,"06620","HERZOG ST"
174,"01075","67TH ST"
175,"01081","67TH ST"
176,"01059","67TH ST"
177,"06600","HERZOG ST"
178,"06504","HERZOG ST"
179,"00774","ALCATRAZ AV"
180,"00760","ALCATRAZ AV"
181,"00750","ALCATRAZ AV"
182,"00742","ALCATRAZ AV"
183,"00726","ALCATRAZ AV"
184,"00706","ALCATRAZ AV"
185,"00700","ALCATRAZ AV"
