name,address
West Oakland Branch Library,1801 Adeline St
Lakeview Branch Library,550 El Embarcadero
Afro-American Museum & Library,659 - 14th Street
Golden Gate Branch Library,5606 San Pablo Ave
Temescal Branch Library,5205 Telegraph Ave
Rockridge Branch Library,5366 College Ave
Main Library,125 - 14th St
Asian Branch Library,388 - 9th St
Cesar Chavez Branch Library,3301 E 12TH ST
Martin Luther King, Jr. Branch Library
Brookfield Branch Library,9255 Edes Ave
Elmhurst Branch Library,1427 - 88th Ave
Montclair Branch Library,1687 Mountain Blvd
Dimond Branch Library,3565 Fruitvale Ave
Piedmont Branch Library,160 - 41st St
Easmont Branch Library,7200 Bancroft Ave
Melrose Branch Library,4805 FOOTHILL BLVD
Temescal Tool Lending Library,5205 Telegraph Ave
Second Start Adult Literacy,1801 Adeline St
BookMobile (Based at West Oakland),1801 Adeline St
American Indian Collection (at Dimond Branch),3565 Fruitvale Ave
