address1,address2
MACARTHUR BLVD,ALVINGROOM CT
OAK ST,7TH ST
BRUSH,17TH ST
MIDDLE HARBOR,MARITIME
PARK BLVD,HAMPEL
BROADWAY,29TH ST
98TH AVE,STEARNS AVE
7TH ST,WOOD ST
MARKET ST,55TH ST
SAN LEANDRO ST,SEMINARY AVE
E.12TH ST,35TH AVE
PARK BLVD,MOUNTAIN BLVD
TELEGRAPH AVE,18TH ST
PARK BLVD,SPRUCE ST & 7TH AVE
GRAND AVE,EUCLID AVE
MACARTHUR BLVD,HARRISON ST_SANTA_CLARA_AVE
MLK JR. WAY,12TH ST
TELEGRAPH AVE,48TH ST
MLK JR. WAY,18TH ST
MADISON ST,11TH ST
FOOTHILL BLVD,42ND AVE_COURTLAND AVE
GOLF LINKS RD,I-580 ON_OFF RAMP
7TH ST,FALLON ST
JEFFERSON ST,11TH ST
MARITIME ST,BURMA ST
MLK JR. WAY,34TH ST
GRAND AVE,BAY PLACE
BANCROFT AVE,82ND AVE
MLK JR. WAY,27TH ST
BANCROFT AVE,FAIRFAX AVE
14TH AVE,19TH AVE & E.29TH ST
TELEGRAPH AVE,27TH ST
FOOTHILL BLVD,HIGH ST
MLK JR. WAY,16TH ST
PARK BLVD,EXCELSIOR
GRAND AVE,STATEN ST
MACARTHUR BLVD,98TH AVE
SAN LEANDRO ST,81ST AVE
BROADWAY,PIEDMONT
JEFFERSON ST,17TH ST
MACARTHUR BLVD,MAPLE AVE
MARKET ST,5TH ST
MARKET ST,18TH ST
GRAND AVE,MONTECITO AVE
E.12TH ST,HIGH ST
ADELINE,32ND ST
SAN LEANDRO ST,HIGH ST
FOOTHILL BLVD,14TH AVE
MANDELA PKWY,W.GRAND AVE
COLLEGE AVE,MANILA & HUDSON
SAN LEANDRO ST,66TH AVE
INTERNATIONAL BLVD,FRUITVALE  AVE
E.12TH ST,10TH AVE
BROADWAY,MACARTHUR BLVD
23RD AVE,E.21ST ST
INTERNATIONAL BLVD,21ST AVE
CASTRO,11TH ST
HARRISON ST,14TH ST
GRAND AVE,EL EMBARCADERO
BROADWAY,21ST ST
JEFFERSON ST,12TH ST
MARITIME ST,17TH ST
MARITIME ST,BATAAN AVE
SAN LEANDRO ST,COLLESIUM BART
BROADWAY,41ST ST
JACKSON ST,6TH ST
MACARTHUR BLVD,SEMINARY AVE_CAMDEN ST
BROADWAY,17TH ST
SKYLINE BLVD,REDWOOD RD
WASHINGTON,7TH ST
,
,
OAKPORT ST,HASSLER
GRAND AVE,LAKE PARK_MANDANA_MIDBLOCK
BROADWAY,16TH ST
FRANKLIN ST,8TH ST
CLAREMONT AVE,CLIFTON OFF RAMP
CLAY ST,11TH ST
INTERNATIONAL BLVD,MITCHELL  AVE
SHATTUCK AVE,ALCATRAZ AVE
CLAY ST,10TH ST
MADISON ST,13TH ST
CLAREMONT HOTEL,TUNNEL
INTERNATIONAL BLVD,5TH  AVE
GRAND AVE,MARTIN LUTHER KING JR.WAY
73RD AVE,NEY AVE
EDGEWATER DR,PENDLETON/WALMART DWY
WEST ST,40TH ST
ALICE ST,12TH ST
INTERNATIONAL BLVD,HIGH ST
MOUNTAIN BLVD,THORNHILL DR
INTERNATIONAL BLVD,16TH  AVE
TELEGRAPH AVE,ALCATRAZ AVE
SAN PABLO AVE,20TH ST_MLK JR. WAY
FRUITVALE AVE,E.9TH STREET
W.GRAND AVE,MARKET ST
INTERNATIONAL BLVD,98TH AVE
MARKET ST,36TH ST
FOOTHILL BLVD,10TH AVE
