OBJECTID,NAME,TYPE,ADDRESS,CITY/STATE
1,Arroyo Viejo Park,Park,7701 Krause Ave,"Oakland, CA"
2,Brookfield Park,Park,9100 Edes Ave,"Oakland, CA"
3,Burckhalter Park,Park,4062 Edwards Ave,"Oakland, CA"
4,Redondo Park,Park,Cavour St & Redondo Av,"Oakland, CA"
5,Rockridge Park,Park,6090 Rockridge Blvd,"Oakland, CA"
6,FROG Park,Park,Cavour St & Redondo Av,"Oakland, CA"
7,Chabot Park,Park,6850 Chabot Rd,"Oakland, CA"
8,Davie Tennis Stadium,Park,"198 Oak Rd  94607
198 Oak Rd","Oakland, CA"
9,Glen Echo Park,Park,Panama Ct & Monte Vista Ave,"Oakland, CA"
10,Garfield Park,Park,2260 Foothill Bl,"Oakland, CA"
11,William D Wood Park,Park,2920 McKillop Rd,"Oakland, CA"
12,Morgan Plaza Park,Park,2601 Highland Av,"Oakland, CA"
13,Bella Vista Park,Park,1025 E 28th St,"Oakland, CA"
14,Central Reservoir Park,Park,2506 E 29th St,"Oakland, CA"
15,Dimond Park,Park,3860 Hanly Rd,"Oakland, CA"
16,Franklin Park,Park,1010 E 15th St,"Oakland, CA"
17,Manzanita Park,Park,2701 22nd Av,"Oakland, CA"
18,Nicol Mini Park,Park,3042 Nicol Av,"Oakland, CA"
19,Montclair Park,Park,6300 Moraga Ave,"Oakland, CA"
20,Ostrander Park,Park,6151 Broadway Terrace,"Oakland, CA"
21,Oak Glen Park,Park,3390 Richmond Blvd,"Oakland, CA"
22,Clinton Square Park,Park,1230 6th Av,"Oakland, CA"
23,Columbian Gardens,Park,9920 Empire Rd,"Oakland, CA"
24,Dunsmuir Estate Park,Park,61 Covington St,"Oakland, CA"
25,Glen Daniels Park,Park,8400 Fontaine St.,"Oakland, CA"
26,Maxwell Park,Park,4618 Allendale Ave,"Oakland, CA"
27,McCrea Park,Park,4460 Shepherd St,"Oakland, CA"
28,Sobrante Park,Park,470 El Paseo Dr,"Oakland, CA"
29,Stonehurst Park,Park,10315 E Street,"Oakland, CA"
30,Tyrone Carney Park (closed),Park,10501 Acalanes Dr,"Oakland, CA"
31,Lion Creek Park,Park,966 66th Ave,"Oakland, CA"
32,Concordia Park,Park,3000 62nd Ave,"Oakland, CA"
33,Avenue Terrace Park,Park,4369 Bennett Pl,"Oakland, CA"
34,Lyons Field,Park,1737 99th Ave,"Oakland, CA"
35,Pinto Park,Park,5000 Redwood Rd,"Oakland, CA"
36,Holly Mini Park,Park,9826 Holly St,"Oakland, CA"
37,San Antonio Park,Park,1701 East 19th St,"Oakland, CA"
38,Elmhurst Plaza Tennis,Park,1201 98th Ave,"Oakland, CA"
39,Officer Willie Wilkins Park,Park,9700 C Street,"Oakland, CA"
40,Eula Brinson Mini Park,Park,1722 85th Ave,"Oakland, CA"
41,Verdese Carter Park,Park,9600 Sunnyside St,"Oakland, CA"
42,Oakport Field,Park,5885 Oakport Rd,"Oakland, CA"
43,Otis Spunkmeyer Field,Park,Doolittle Dr,"Oakland, CA"
44,Vantage Point Park,Park,1198 13th Ave,"Oakland, CA"
45,Greenman Field,Park,1390 66th Ave,"Oakland, CA"
46,Fremont Plaza,Park,,"Oakland, CA"
47,South Prescott Park,Park,3rd St & Chester Ave,"Oakland, CA"
48,St. Andrews Park,Park,32nd St & San Pablo Ave,"Oakland, CA"
49,Durant Mini Park,Park,29th St & MLK,"Oakland, CA"
50,Willow Mini Park,Park,14th St & Willow St,"Oakland, CA"
51,Poplar Park,Park,3131 Union St,"Oakland, CA"
52,Cypress Freeway Memorial Park,Park,14th & Mandela Parkway,"Oakland, CA"
53,DeFremery Park & Pool,Park,1269 18th St,"Oakland, CA"
54,Lowell Park,Park,1180 14th St,"Oakland, CA"
55,Marston Campbell Park,Park,17th St & West St,"Oakland, CA"
56,Wade Johnson Park,Park,1250 Kirkham St,"Oakland, CA"
57,Peralta Oaks Park,Park,10700 Peralta Oaks Dr,"Oakland, CA"
58,Dolphin Mini Park,Park,73rd Ave & International Blvd,"Oakland, CA"
59,Picardy Park,Park,5800 Picardy Dr,"Oakland, CA"
60,Grass Valley Field,Park,4650 Dunkirk Ave,"Oakland, CA"
61,McClymond's Mini Park,Park,2528 Linden St,"Oakland, CA"
62,12th Street Dam Area,Park,20 12th St,"Oakland, CA"
63,Athol Plaza Park,Park,1700 Lakeshore Ave,"Oakland, CA"
64,Collins Plaza Park,Park,2240 San Pablo Ave,"Oakland, CA"
65,Raimondi Park,Park,1650 20th St,"Oakland, CA"
66,Channel Park,Park,1 10th St,"Oakland, CA"
67,14th St Pocket Park,Park,14th St & Wood,"Oakland, CA"
68,Bertha Port Park,Park,750 Wood St,"Oakland, CA"
69,Chester Street Park,Park,327 Chester St,"Oakland, CA"
70,Union Plaza,Park,3399 Peralta St,"Oakland, CA"
71,Peralta Hacienda Park,Park,2500 34th Ave,"Oakland, CA"
72,Fitzgerald Park,Park,1300 Fitzgerald St,"Oakland, CA"
73,Bishop Begin Plaza,Park,2070 San Pablo Av,"Oakland, CA"
74,Frank Ogawa Plaza,Park,City Hall Paza,"Oakland, CA"
75,Jefferson Square,Park,618 Jefferson St,"Oakland, CA"
76,Lafayette Square Park,Park,635 11th St,"Oakland, CA"
77,Eastshore Park,Park,550 El Embarcadero,"Oakland, CA"
78,Mandana Plaza Park,Park,600 Mandana Ave,"Oakland, CA"
79,Cleveland Cascade,Park,2292 Lakeshore Ave,"Oakland, CA"
80,Pine Knoll Park,Park,Lakeshore Ave & Hanover Ave,"Oakland, CA"
81,Snow Park,Park,19th St & Harrison St,"Oakland, CA"
82,23rd Ave Overpass,Park,2257 E 12th St,"Oakland, CA"
83,25th St Mini Park (closed),Park,2417 M L King Wy,"Oakland, CA"
84,Foothill Meadows Park,Park,3705 Foothill Blvd,"Oakland, CA"
85,Fruitvale Bridge Park,Park,3205 Alameda Ave,"Oakland, CA"
86,Fruitvale Plaza Park,Park,1412 35th Ave,"Oakland, CA"
87,Foothill Meadows Park Extension,Park,1800 38th Ave,"Oakland, CA"
88,Josie de la Cruz Park,Park,1637 Fruitvale Ave,"Oakland, CA"
