name,address
Arroyo Viejo Park,7701 Krause Ave
Brookfield Park,9100 Edes Ave
Burckhalter Park,4062 Edwards Ave
Redondo Park,Cavour St & Redondo Av
Rockridge Park,6090 Rockridge Blvd
FROG Park,Cavour St & Redondo Av
Chabot Park,6850 Chabot Rd
Davie Tennis Stadium,198 Oak Rd  94607
Glen Echo Park,Panama Ct & Monte Vista Ave
Garfield Park,2260 Foothill Bl
William D Wood Park,2920 McKillop Rd
Morgan Plaza Park,2601 Highland Av
Bella Vista Park,1025 E 28th St
Central Reservoir Park,2506 E 29th St
Dimond Park,3860 Hanly Rd
Franklin Park,1010 E 15th St
Manzanita Park,2701 22nd Av
Nicol Mini Park,3042 Nicol Av
Montclair Park,6300 Moraga Ave
Ostrander Park,6151 Broadway Terrace
Oak Glen Park,3390 Richmond Blvd
Clinton Square Park,1230 6th Av
Columbian Gardens,9920 Empire Rd
Dunsmuir Estate Park,61 Covington St
Glen Daniels Park,8400 Fontaine St.
Maxwell Park,4618 Allendale Ave
McCrea Park,4460 Shepherd St
Sobrante Park,470 El Paseo Dr
Stonehurst Park,10315 E Street
Tyrone Carney Park (closed),10501 Acalanes Dr
Lion Creek Park,966 66th Ave
Concordia Park,3000 62nd Ave
Avenue Terrace Park,4369 Bennett Pl
Lyons Field,1737 99th Ave
Pinto Park,5000 Redwood Rd
Holly Mini Park,9826 Holly St
San Antonio Park,1701 East 19th St
Elmhurst Plaza Tennis,1201 98th Ave
Officer Willie Wilkins Park,9700 C Street
Eula Brinson Mini Park,1722 85th Ave
Verdese Carter Park,9600 Sunnyside St
Oakport Field,5885 Oakport Rd
Otis Spunkmeyer Field,Doolittle Dr
Vantage Point Park,1198 13th Ave
Greenman Field,1390 66th Ave
Fremont Plaza,
South Prescott Park,3rd St & Chester Ave
St. Andrews Park,32nd St & San Pablo Ave
Durant Mini Park,29th St & MLK
Willow Mini Park,14th St & Willow St
Poplar Park,3131 Union St
Cypress Freeway Memorial Park,14th & Mandela Parkway
DeFremery Park & Pool,1269 18th St
Lowell Park,1180 14th St
Marston Campbell Park,17th St & West St
Wade Johnson Park,1250 Kirkham St
Peralta Oaks Park,10700 Peralta Oaks Dr
Dolphin Mini Park,73rd Ave & International Blvd
Picardy Park,5800 Picardy Dr
Grass Valley Field,4650 Dunkirk Ave
McClymonds Mini Park,2528 Linden St
12th Street Dam Area,20 12th St
Athol Plaza Park,1700 Lakeshore Ave
Collins Plaza Park,2240 San Pablo Ave
Raimondi Park,1650 20th St
Channel Park,1 10th St
14th St Pocket Park,14th St & Wood
Bertha Port Park,750 Wood St
Chester Street Park,327 Chester St
Union Plaza,3399 Peralta St
Peralta Hacienda Park,2500 34th Ave
Fitzgerald Park,1300 Fitzgerald St
Bishop Begin Plaza,2070 San Pablo Av
Frank Ogawa Plaza,City Hall Paza
Jefferson Square,618 Jefferson St
Lafayette Square Park,635 11th St
Eastshore Park,550 El Embarcadero
Mandana Plaza Park,600 Mandana Ave
Cleveland Cascade,2292 Lakeshore Ave
Pine Knoll Park,Lakeshore Ave & Hanover Ave
Snow Park,19th St & Harrison St
23rd Ave Overpass,2257 E 12th St
25th St Mini Park (closed),2417 M L King Wy
Foothill Meadows Park,3705 Foothill Blvd
Fruitvale Bridge Park,3205 Alameda Ave
Fruitvale Plaza Park,1412 35th Ave
Foothill Meadows Park Extension,1800 38th Ave
Josie de la Cruz Park,1637 Fruitvale Ave
Lazear Field,850 29th Ave
Cryer Site,1899 Dennison St
Union Point Park,2311 Embarcadero
Bushrod Park,560 59th St
Colby Park,Colby St & 61st St
Grove Shafter Park 1,36th St & Martin Luther King Jr Way
Grove Shafter Park 2,36th St & Martin Luther King Jr Way
Grove Shafter Park 3,36th St & Martin Luther King Jr Way
Driver Plaza,6031 Genoa St
Hardy Park (Dog Park),491 Hardy St
Helen McGregor Plaza,5210 West St
Linden Park,998 42nd St
Martin Luther King Jr Plaza (Dover Park),5707 Dover St
FM Smith Park,1969 Park Bl
Glen Echo Creek Park,102 Monte Vista Av
